energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,52.6929,15.796,2279.9,8.0114,2287.9,0.0,0.5959
2.224304,53.1185,14.404000000000002,1944.7,7.9336,1952.6,0.0,0.5574
2.377781,53.5173,13.148,1660.6,7.8346,1668.4,0.0,0.5214
2.541848,53.7256,11.988,1416.4,7.7153,1424.1,0.0,0.4878
2.717235,53.8825,10.931,1208.1,7.577,1215.7,0.0,0.4563
2.9047240000000003,53.9726,9.9786,1031.7,7.4211,1039.1,0.0,0.4268
3.10515,54.1316,9.0399,874.3,7.249,881.55,0.0,0.3993
3.319406,54.0412,8.1349,735.99,7.0622,743.05,0.0,0.3735
3.5484449999999996,53.8652,7.3286,620.24,6.8623,627.1,0.0,0.3494
3.7932879999999995,53.6071,6.5717,520.29,6.651,526.94,0.0,0.3269
4.0550239999999995,53.2539,5.8978,436.79,6.4298,443.22,0.0,0.3058
4.334821,52.7952,5.3002,367.2,6.2005,373.4,0.0,0.286
4.6339239999999995,52.1906,4.7711,309.21,5.9647,315.17,0.0,0.2676
4.953664,51.3382,4.3029,260.86,5.7239,266.58,0.0,0.2503
5.2954669999999995,49.9245,3.8778,219.92,5.4798,225.4,0.0,0.2341
5.608932,46.8297,3.5375,189.41,5.2678,194.68,0.0,0.221
5.660855000000001,45.4426,3.485,184.88,5.2338,190.11,0.0,0.219
5.694783,43.6597,3.4514,182.01,5.2117,187.22,0.0,0.2177
5.717677,39.988,3.4291,180.11,5.1969,185.31,0.0,0.2168
5.7520169999999995,43.6201,10.533,549.96,5.1748,555.13,0.0,0.2155
5.837868,46.7211,10.205,524.96,5.12,530.08,0.0,0.2124
6.040916,48.1015,9.5007,472.31,4.9937,477.3,0.0,0.2052
6.0514529999999995,48.0772,9.4699,469.96,4.9873,474.95,0.0,0.2049
6.133379,47.1455,9.2384,452.35,4.9377,457.29,0.0,0.2021
6.158036,45.489,9.1714,447.27,4.9229,452.19,0.0,0.2013
6.195021,47.4235,12.55,608.4,4.9008,613.3,0.0,0.2001
6.287484,49.308,12.227,584.0,4.8463,588.85,0.0,0.1972
6.4178239999999995,50.2841,11.799000000000001,552.12,4.7708,556.89,0.0,0.1932
6.469004,50.3955,11.639000000000001,540.34,4.7417,545.08,0.0,0.1917
6.516056,50.2108,11.497,529.9,4.7151,534.62,0.0,0.1903
6.542251,49.4645,11.42,524.22,4.7004,528.92,0.0,0.1895
6.581544,50.5806,13.081,596.87,4.6785,601.55,0.0,0.1884
6.6797759999999995,51.8733,12.792,575.13,4.6243,579.75,0.0,0.1856
6.9153649999999995,53.3992,12.149000000000001,527.6,4.4981,532.1,0.0,0.1793
7.392525,55.1261,10.991,446.51,4.2578,450.77,0.0,0.1677
7.902609,56.221,9.9078,376.52,4.0218,380.54,0.0,0.1569
8.44789,56.9654,8.9174,317.01,3.7909,320.8,0.0,0.1468
9.030794,57.5029,8.0097,266.36,3.566,269.93,0.0,0.1373
9.653919,57.8541,7.15,222.42,3.3477,225.77,0.0,0.1284
10.320039999999999,58.0788,6.3882,185.9,3.1368,189.04,0.0,0.1201
11.032119999999999,58.2206,5.7128,155.51,2.9336,158.44,0.0,0.1124
11.793339999999999,58.3774,5.1034,129.96,2.7386,132.7,0.0,0.1051
12.60708,58.449,4.5487,108.36,2.5521,110.91,0.0,0.09834
13.476970000000001,58.4781,4.045,90.13799999999999,2.3743,92.512,0.0,0.092
14.40688,58.4372,3.5928,74.89399999999999,2.2053,77.09899999999999,0.0,0.08606
15.40095,58.3727,3.1939,62.282,2.0452,64.327,0.0,0.0805
16.463620000000002,58.2934,2.8418,51.838,1.8939,53.732,0.0,0.07531
17.599610000000002,58.2044,2.5302,43.175,1.7514,44.926,0.0,0.07045
18.813979999999997,58.1087,2.2547,35.991,1.6175,37.608000000000004,0.0,0.0659
20.11215,58.0087,2.0111,30.03,1.4921,31.522,0.0,0.06165
21.499879999999997,57.9055,1.7954,25.079,1.3749,26.454,0.0,0.057670000000000006
22.98338,57.7995,1.6044,20.964000000000002,1.2656,22.23,0.0,0.05395
24.569229999999997,57.6904,1.435,17.54,1.1641,18.704,0.0,0.050460000000000005
26.2645,57.5765,1.2815,14.654000000000002,1.0699,15.724,0.0,0.04721
28.076759999999997,57.4526,1.1348,12.138,0.9827600000000001,13.120999999999999,0.0,0.044160000000000005
30.01405,57.3038,0.9992700000000001,9.9985,0.9023,10.901,0.0,0.04131
32.08502,57.1194,0.87956,8.2327,0.8281799999999999,9.0609,0.0,0.03864
34.29889,56.8744,0.77465,6.7828,0.7600399999999999,7.5428,0.0,0.03615
36.66551,56.4958,0.68282,5.5928,0.69753,6.2903,0.0,0.03381
39.19543,55.6078,0.60237,4.6154,0.6402899999999999,5.2557,0.0,0.03163
39.63414,55.2451,0.58995,4.4702,0.6312300000000001,5.1014,0.0,0.03128
40.240790000000004,54.0411,0.57343,4.2795,0.6190899999999999,4.8986,0.0,0.03081
40.40256,52.598,0.56915,4.2305,0.61592,4.8464,0.0,0.03069
40.64522,54.0571,3.4044,25.154,0.61123,25.765,21.0,0.0305
41.25186,55.3764,3.3261,24.214000000000002,0.59978,24.814,20.23,0.030060000000000003
41.89992,55.9523,3.2457,23.263,0.5879800000000001,23.851,19.45,0.029589999999999998
44.79101,57.0307,2.9144,19.54,0.5402600000000001,20.08,16.39,0.02768
47.88159,57.5239,2.6115,16.379,0.4968,16.875999999999998,13.77,0.025889999999999996
51.18542,57.821,2.3382,13.719000000000001,0.45726999999999995,14.175999999999998,11.56,0.02422
54.717209999999994,58.0169,2.0897,11.469000000000001,0.42138000000000003,11.89,9.682,0.02266
58.4927,58.1468,1.8652,9.5765,0.38883,9.9653,8.094,0.0212
62.5287,58.2336,1.6646,7.995,0.35935,8.3544,6.765,0.01983
66.84318,58.2911,1.4854,6.6739,0.33266999999999997,7.0066,5.653,0.01855
71.45536,58.3279,1.3254,5.5705,0.30855,5.879,4.7219999999999995,0.01735
76.38578000000001,58.3503,1.1825,4.6491,0.28676,4.9359,3.944,0.01623
81.6564,58.3941,1.0531,3.8732,0.26709,4.1403,3.2880000000000003,0.01518
87.29069,58.3944,0.9325100000000001,3.2082,0.24931999999999999,3.4575,2.7260000000000004,0.0142
93.31374,58.3864,0.8257899999999999,2.6577,0.23328000000000002,2.891,2.26,0.01329
99.75239,58.3732,0.73135,2.2018,0.21879,2.4206,1.8730000000000002,0.01243
106.6353,58.3567,0.64777,1.8243,0.2057,2.03,1.5530000000000002,0.01163
113.9931,58.3381,0.5737899999999999,1.5117,0.19386,1.7056,1.287,0.010879999999999999
121.8587,58.3185,0.50831,1.2527,0.18314,1.4358,1.067,0.01017
130.2669,58.2983,0.45033,1.0382,0.17340999999999998,1.2116,0.8847,0.009518
139.2553,58.2782,0.399,0.8604700000000001,0.16457,1.025,0.7334,0.008903
