energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,8.30145,0.46808,591.67,1.279,592.95,563.7,0.5959
2.224304,8.285810000000001,0.41395,489.48,1.2334,490.71,466.2,0.5574
2.377781,8.26885,0.36513,403.88,1.1872,405.07,384.5,0.5214
2.541848,8.25152,0.32206999999999997,333.25,1.1406,334.39,317.2,0.4878
2.717235,8.23442,0.28409,274.98,1.0938,276.07,261.6,0.4563
2.9047240000000003,8.21791,0.25059000000000003,226.9,1.0472,227.95,215.7,0.4268
3.10515,8.20256,0.21994,186.3,1.0011,187.3,177.1,0.3993
3.319406,8.18728,0.19213,152.24,0.95552,153.2,144.7,0.3735
3.5484449999999996,8.17222,0.16784000000000002,124.4,0.9108299999999999,125.31,118.2,0.3494
3.7932879999999995,8.157789999999999,0.14662,101.66,0.86716,102.53,96.62,0.3269
4.0550239999999995,8.14414,0.12808,83.07700000000001,0.82468,83.902,78.96,0.3058
4.334821,8.13136,0.11189,67.89,0.78354,68.67399999999999,64.52,0.286
4.6339239999999995,8.11947,0.097749,55.48,0.7438600000000001,56.224,52.72,0.2676
4.953664,8.10847,0.08539400000000001,45.339,0.70572,46.045,43.08,0.2503
5.2954669999999995,8.098339999999999,0.074601,37.052,0.66922,37.721,35.2,0.2341
5.660855000000001,8.089030000000001,0.06517200000000001,30.28,0.6344,30.914,28.77,0.219
6.0514529999999995,8.08051,0.056936,24.746,0.6013,25.346999999999998,23.51,0.2049
6.469004,8.07273,0.04974,20.223,0.56995,20.793000000000003,19.21,0.1917
6.9153649999999995,8.06564,0.043455,16.527,0.54035,17.067,15.7,0.1793
7.392525,8.0592,0.037964,13.507,0.51248,14.019,12.83,0.1677
7.902609,8.053360000000001,0.033166,11.038,0.48633000000000004,11.524000000000001,10.48,0.1569
8.44789,8.04808,0.028976,9.0211,0.46186000000000005,9.483,8.564,0.1468
9.030794,8.043330000000001,0.025277,7.3617,0.43901,7.8007,6.9879999999999995,0.1373
9.653919,8.03905,0.021935,5.976,0.41773999999999994,6.3937,5.672000000000001,0.1284
10.320039999999999,8.03513,0.018994999999999998,4.8409,0.39798,5.2389,4.593999999999999,0.1201
11.032119999999999,8.03154,0.016411000000000002,3.9125,0.37966,4.2922,3.7119999999999997,0.1124
11.793339999999999,8.02827,0.014177,3.1618,0.36271,3.5245,2.9989999999999997,0.1051
12.60708,8.0253,0.012248,2.5551,0.34705,2.9021,2.424,0.09834
13.476970000000001,8.02262,0.010581,2.0649,0.3326,2.3975,1.9580000000000002,0.092
14.40688,8.02021,0.0091406,1.6687,0.31928,1.988,1.5819999999999999,0.08606
15.40095,8.01804,0.0078965,1.3485,0.30701999999999996,1.6555,1.2790000000000001,0.0805
16.463620000000002,8.01609,0.0068218,1.0898,0.29572,1.3855,1.033,0.07531
17.599610000000002,8.014339999999999,0.0058934,0.8807200000000001,0.28531999999999996,1.166,0.8348,0.07045
18.813979999999997,8.01277,0.0050913,0.71175,0.27573000000000003,0.9874799999999999,0.6746,0.0659
20.11215,8.01137,0.004398399999999999,0.57519,0.26688,0.8420700000000001,0.5451,0.06165
21.499879999999997,8.01012,0.0037998000000000003,0.46484,0.25871,0.72355,0.4404,0.057670000000000006
22.98338,8.009,0.0032827,0.37566,0.25114000000000003,0.6268,0.3559,0.05395
24.569229999999997,8.00801,0.002836,0.30359,0.24411,0.5477,0.2876,0.050460000000000005
26.2645,8.00713,0.00245,0.24535,0.23756,0.48291000000000006,0.2324,0.04721
28.076759999999997,8.00633,0.0021079000000000002,0.19746,0.23144,0.4289,0.187,0.044160000000000005
30.01405,8.00562,0.001811,0.1587,0.2257,0.3844,0.1502,0.04131
32.08502,8.00498,0.001556,0.12755,0.22028000000000003,0.34783000000000003,0.1207,0.03864
34.29889,8.00442,0.0013368,0.10250999999999999,0.21516,0.31767,0.09701,0.03615
36.66551,8.003919999999999,0.0011485999999999998,0.08238999999999999,0.21028000000000002,0.29267,0.07795,0.03381
39.19543,8.00347,0.00098682,0.066219,0.20563,0.27185,0.06264,0.03163
41.89992,8.00307,0.00084786,0.053221000000000004,0.20115,0.25437,0.05033,0.029589999999999998
44.79101,8.00272,0.00072846,0.042775,0.19684000000000001,0.23961999999999997,0.04044,0.02768
47.88159,8.0024,0.00062588,0.034379,0.19266,0.22704000000000002,0.0325,0.025889999999999996
51.18542,8.002130000000001,0.00053774,0.027631,0.18859,0.21622,0.02611,0.02422
54.717209999999994,8.00188,0.00046201,0.022208000000000002,0.18462,0.20683,0.020980000000000002,0.02266
58.4927,8.001660000000001,0.00039695,0.017849,0.18074,0.19859000000000002,0.01686,0.0212
62.5287,8.00147,0.00034106,0.014346000000000001,0.17693,0.19128,0.01355,0.01983
66.84318,8.0013,0.00029303,0.01153,0.17318,0.18470999999999999,0.01089,0.01855
71.45536,8.00114,0.00025177,0.009267000000000001,0.16948,0.17875,0.008749,0.01735
76.38578000000001,8.00101,0.00021632,0.0074482,0.16583,0.17328,0.00703,0.01623
81.6564,8.00089,0.0001858,0.0059845,0.16222999999999999,0.16821,0.005647,0.01518
87.29069,8.00079,0.00015948,0.0048053,0.15867,0.16348,0.004533,0.0142
93.31374,8.000689999999999,0.00013689,0.0038584,0.15514,0.159,0.003639,0.01329
99.75239,8.00061,0.0001175,0.0030981,0.15166,0.15475999999999998,0.002921,0.01243
106.6353,8.000539999999999,0.00010086,0.0024876,0.14820999999999998,0.1507,0.002345,0.01163
113.9931,8.00048,8.657100000000001e-05,0.0019974,0.14481,0.14681,0.001882,0.010879999999999999
121.8587,8.00042,7.4309e-05,0.0016038,0.14144,0.14304,0.001511,0.01017
130.2669,8.00037,6.3783e-05,0.0012878,0.13812,0.13940999999999998,0.001213,0.009518
139.2553,8.00033,5.4748999999999994e-05,0.001034,0.13485,0.13588,0.0009735,0.008903
148.864,8.00029,4.6994e-05,0.00083029,0.13162000000000001,0.13245,0.0007814,0.008329000000000001
159.1356,8.00025,4.0338e-05,0.00066669,0.12845,0.12912,0.0006273,0.007790999999999999
170.1159,8.00022,3.4625e-05,0.00053533,0.12532000000000001,0.12586,0.0005035,0.007287999999999999
181.8539,8.0002,2.9721e-05,0.00042985,0.12226,0.12269000000000001,0.00040419999999999996,0.006818
194.4018,8.000169999999999,2.5511e-05,0.00034515,0.11925,0.1196,0.00032439999999999997,0.006378
207.8156,8.00015,2.1898000000000003e-05,0.00027714,0.11631,0.11659000000000001,0.0002604,0.005966
222.1548,8.00013,1.8797e-05,0.00022254,0.11342999999999999,0.11365,0.0002091,0.005581
237.4835,8.000119999999999,1.6135e-05,0.00017869,0.11062000000000001,0.1108,0.0001678,0.005221
253.8699,8.0001,1.3849e-05,0.00014348,0.10787000000000001,0.10801,0.0001347,0.004884
271.3869,8.00009,1.1888e-05,0.00011521,0.1052,0.10532000000000001,0.0001081,0.004569
290.1126,8.00008,1.0204e-05,9.251100000000001e-05,0.1026,0.10269,8.68e-05,0.004274
310.1304,8.00007,8.759199999999999e-06,7.4284e-05,0.10007,0.10013999999999999,6.967e-05,0.003998
331.5294,8.000060000000001,7.5187e-06,5.9648e-05,0.097623,0.097683,5.593e-05,0.00374
354.4049,8.00005,6.4539e-06,4.7896000000000004e-05,0.095249,0.095297,4.49e-05,0.003498
378.8588,8.00005,5.5399e-06,3.8459e-05,0.092954,0.09299199999999999,3.604e-05,0.003273
405.0001,8.00004,4.7554e-06,3.0882e-05,0.090737,0.090768,2.893e-05,0.003061
